Date,Open,High,Low,Close,Volume,Adj Close,Future_categorical
6/4/2015,17755.5,18066.7598,17646.8008,18057.6504,452970000,18057.6504,1
13/4/2015,18052.3203,18169.2598,17748.5293,17826.3008,544910000,17826.3008,0
20/4/2015,17841.1797,18133.0293,17841.1797,18080.1406,508970000,18080.1406,1
27/4/2015,18097.8906,18175.5605,17774.8906,18024.0605,569000000,18024.0605,0
4/5/2015,18026.0195,18205.2305,17733.1191,18191.1094,457660000,18191.1094,1
11/5/2015,18187.7793,18272.7207,17924.8008,18272.5605,460300000,18272.5605,1
18/5/2015,18267.25,18351.3594,18217.1406,18232.0195,409630000,18232.0195,0
25/5/2015,18229.75,18229.75,17967.7402,18010.6797,413160000,18010.6797,0
1/6/2015,18017.8203,18168.0898,17822.9004,17849.4609,418920000,17849.4609,0
8/6/2015,17849.4609,18109.7695,17714.9707,17898.8398,447080000,17898.8398,1
15/6/2015,17890.7598,18174.7305,17698.4199,18015.9492,614600000,18015.9492,1
22/6/2015,18027.6309,18188.8105,17890.3594,17946.6797,495840000,17946.6797,0
29/6/2015,17936.7402,17936.7402,17576.5,17730.1094,412890000,17730.1094,0
6/7/2015,17728.0801,17797.4902,17465.6797,17760.4102,452120000,17760.4102,1
13/7/2015,17787.2695,18131.6094,17787.2695,18086.4492,435120000,18086.4492,1
20/7/2015,18085.9102,18137.1191,17553.7305,17568.5293,479670000,17568.5293,0
27/7/2015,17561.7793,17783.5898,17399.1699,17689.8594,497220000,17689.8594,1
3/8/2015,17696.7402,17704.7598,17279.0801,17373.3809,467360000,17373.3809,0
10/8/2015,17375.1797,17629.1309,17125.8105,17477.4004,486510000,17477.4004,1
17/8/2015,17472.6602,17568.4004,16459.5508,16459.75,611700000,16459.75,0
24/8/2015,16459.75,16669.9707,15370.3301,16643.0098,1019330000,16643.0098,1
31/8/2015,16632.0195,16550.0703,15979.9502,16102.3799,683310000,16102.3799,0
7/9/2015,16109.9297,16664.6504,16109.9297,16433.0898,469980000,16433.0898,1
14/9/2015,16450.8594,16933.4297,16330.8701,16384.5801,756620000,16384.5801,0
21/9/2015,16406.0996,16578.5996,16016.3604,16314.6699,548780000,16314.6699,0
28/9/2015,16313.2598,16472.7695,15942.3701,16472.3691,655120000,16472.3691,1
5/10/2015,16502.0996,17110.8809,16502.0996,17084.4902,567820000,17084.4902,1
12/10/2015,17082.2891,17220.0195,16887.6699,17215.9707,560850000,17215.9707,1
